Ticker,Ex-Dividend Date,Yield,Period
MHF,8/21/2020,4.20%,monthly
MNP,8/21/2020,4.20%,monthly
WEA,8/21/2020,6.10%,monthly
GFY,8/21/2020,6.30%,monthly
HIO,8/21/2020,8.70%,monthly
WIW,8/21/2020,3.50%,monthly
BC,8/24/2020,1.40%,quarterly
CRS,8/24/2020,3.34%,quarterly
CDW,8/24/2020,1.30%,quarterly
CRAI,8/24/2020,2.13%,quarterly
EFX,8/24/2020,0.93%,quarterly
STAY,8/24/2020,0.30%,quarterly
FLMN,8/24/2020,4.21%,quarterly
GER,8/24/2020,8.00%,quarterly
GMZ,8/24/2020,8.30%,quarterly
HFRO,8/24/2020,11.38%,monthly
JNJ,8/24/2020,2.70%,quarterly
NHF,8/24/2020,12.59%,monthly
NDSN,8/24/2020,0.75%,quarterly
PBA,8/24/2020,7.51%,monthly
PRU,8/24/2020,6.22%,quarterly
RHI,8/24/2020,2.67%,quarterly
SBAC,8/24/2020,0.61%,quarterly
SPB,8/24/2020,3.22%,quarterly
WLK,8/24/2020,1.80%,quarterly
ACCO,8/25/2020,3.70%,quarterly
BEBE,8/25/2020,6.94%,quarterly
DHT,8/25/2020,19.80%,quarterly
NMRK,8/25/2020,0.90%,quarterly
PRSP,8/25/2020,1.30%,quarterly
RBA,8/25/2020,1.58%,quarterly
SPGI,8/25/2020,0.82%,quarterly
SLF,8/25/2020,3.98%,quarterly
YUM,8/25/2020,2.03%,quarterly
B,8/26/2020,1.70%,quarterly
MNRL,8/26/2020,4.37%,quarterly
CHL,8/26/2020,5.00%,semi-annual
FBP,8/26/2020,3.60%,quarterly
LMAT,8/26/2020,1.30%,quarterly
MGIC,8/26/2020,2.40%,semi-annual
MXIM,8/26/2020,2.79%,quarterly
PHX,8/26/2020,1.80%,quarterly
SMG,8/26/2020,1.50%,quarterly
STE,8/26/2020,1.01%,quarterly
TRMD,8/26/2020,1.30%,semi-annual
WPM,8/26/2020,0.81%,quarterly
XYL,8/26/2020,1.30%,quarterly
ALL,8/27/2020,2.40%,quarterly
ARGO,8/27/2020,3.40%,quarterly
BMI,8/27/2020,1.10%,quarterly
CBT,8/27/2020,3.79%,quarterly
CNAF,8/27/2020,5.88%,quarterly
GLW,8/27/2020,3.10%,quarterly
EVR,8/27/2020,4.07%,quarterly
FLO,8/27/2020,3.26%,quarterly
FTV,8/27/2020,0.40%,quarterly
FBHS,8/27/2020,1.44%,quarterly
HEES,8/27/2020,5.18%,quarterly
HII,8/27/2020,2.35%,quarterly
KHC,8/27/2020,4.50%,quarterly
NBHC,8/27/2020,2.84%,quarterly
NTES,8/27/2020,1.29%,quarterly
NEE,8/27/2020,2.00%,quarterly
NAT,8/27/2020,9.10%,quarterly
NUS,8/27/2020,3.19%,quarterly
PH,8/27/2020,1.68%,quarterly
PRGO,8/27/2020,1.58%,quarterly
PDM,8/27/2020,5.37%,quarterly
PIPR,8/27/2020,1.77%,quarterly
SOR,8/27/2020,2.72%,quarterly
PIPR,8/27/2020,1.20%,quarterly
HQH,8/27/2020,9.08%,quarterly
HQL,8/27/2020,7.90%,quarterly
USLM,8/27/2020,0.68%,quarterly
WEYS,8/27/2020,5.36%,quarterly
WHR,8/27/2020,2.64%,quarterly
WING,8/27/2020,0.36%,quarterly
ACNB,8/28/2020,4.40%,quarterly
AGNC,8/28/2020,10.40%,aug 20
AEM,8/28/2020,1.03%,quarterly
ABTX,8/28/2020,1.48%,quarterly
AIZ,8/28/2020,2.50%,quarterly
AY,8/28/2020,5.50%,quarterly
BOH,8/28/2020,4.70%,quarterly
BAX,8/28/2020,1.17%,quarterly
BRMK,8/28/2020,8.90%,monthly
BAM,8/28/2020,1.42%,quarterly
BBU,8/28/2020,0.90%,quarterly
BIP,8/28/2020,4.50%,quarterly
BIPC,8/28/2020,4.10%,quarterly
BPY,8/28/2020,11.30%,quarterly
BPYU,8/28/2020,11.43%,quarterly
BEPC,8/28/2020,3.70%,monthly
BEP,8/28/2020,3.80%,quarterly
WHD,8/28/2020,1.59%,quarterly
CTT,8/28/2020,5.65%,quarterly
CPF,8/28/2020,5.90%,quarterly
CSSEP,8/28/2020,10.40%,monthly
CR,8/28/2020,3.02%,quarterly
CSX,8/28/2020,1.52%,quarterly
CUB,8/28/2020,0.60%,semi-annual
CFR,8/28/2020,3.90%,quarterly
DNP,8/28/2020,7.00%,monthly
DOV,8/28/2020,1.88%,quarterly
DOW,8/28/2020,6.30%,quarterly
EFC,8/28/2020,8.70%,monthly
ESNT,8/28/2020,1.79%,quarterly
FDS,8/28/2020,0.90%,quarterly
FMS,8/28/2020,1.64%,annual
EAF,8/28/2020,0.58%,quarterly
GECC,8/28/2020,22.30%,monthly
AVAL,8/28/2020,6.80%,monthly
HUBB,8/28/2020,2.70%,quarterly
IIPZF,8/28/2020,2.28%,monthly
KINS,8/28/2020,2.89%,quarterly
MMX,8/28/2020,0.90%,quarterly
MLAB,8/28/2020,0.30%,quarterly
MTBCP,8/28/2020,10.90%,monthly
NGVC,8/28/2020,1.88%,quarterly
NBW,8/28/2020,3.99%,monthly
NBH,8/28/2020,4.90%,monthly
NBO,8/28/2020,3.90%,monthly
NWL,8/28/2020,5.47%,quarterly
NKE,8/28/2020,0.98%,quarterly
NOA,8/28/2020,1.95%,quarterly
PCB,8/28/2020,4.10%,quarterly
PACW,8/28/2020,5.30%,quarterly
PATK,8/28/2020,1.60%,quarterly
PFIS,8/28/2020,4.00%,quarterly
POWI,8/28/2020,0.40%,quarterly
PSEC,8/28/2020,16.30%,monthly
SCHL,8/28/2020,2.10%,quarterly
STAG,8/28/2020,4.80%,monthly
SCL,8/28/2020,1.04%,quarterly
TNC,8/28/2020,1.22%,quarterly
TPVG,8/28/2020,11.70%,quarterly
UNP,8/28/2020,2.25%,quarterly
UBOH,8/28/2020,3.36%,quarterly
UZB,8/28/2020,8.00%,quarterly
VVV,8/28/2020,2.15%,quarterly
VOYA,8/28/2020,1.20%,quarterly
XPER,8/28/2020,1.40%,quarterly
WMS,8/31/2020,0.68%,quarterly
AEB,8/31/2020,4.50%,quarterly
ASH,8/31/2020,1.42%,quarterly
ASB,8/31/2020,5.47%,quarterly
AGR,8/31/2020,3.90%,quarterly
BLL,8/31/2020,0.81%,quarterly
BGFV,8/31/2020,6.15%,quarterly
BCC,8/31/2020,0.80%,quarterly
BWA,8/31/2020,1.83%,quarterly
BRKR,8/31/2020,0.40%,quarterly
CDK,8/31/2020,1.28%,quarterly
CPKF,8/31/2020,2.72%,quarterly
CWEN.A,8/31/2020,3.70%,quarterly
CWEN,8/31/2020,3.50%,quarterly
CCNE,8/31/2020,3.90%,quarterly
CXP,8/31/2020,6.66%,quarterly
CIX,8/31/2020,2.80%,quarterly
CTB,8/31/2020,1.20%,quarterly
CLGX,8/31/2020,1.92%,quarterly
COWN,8/31/2020,0.90%,quarterly
DNKN,8/31/2020,2.35%,quarterly
EBAY,8/31/2020,1.14%,quarterly
ESLT,8/31/2020,1.30%,quarterly
FFBC,8/31/2020,6.73%,quarterly
FBC,8/31/2020,0.64%,quarterly
FNCB,8/31/2020,3.90%,quarterly
FSNUY,8/31/2020,1.28%,annual
FF,8/31/2020,2.00%,quarterly
GS,8/31/2020,2.30%,quarterly
HIG,8/31/2020,3.07%,quarterly
HAYN,8/31/2020,4.50%,quarterly
HY,8/31/2020,2.86%,quarterly
IBKR,8/31/2020,0.80%,quarterly
IPG,8/31/2020,5.43%,quarterly
ITIC,8/31/2020,1.32%,quarterly
STAR,8/31/2020,3.54%,quarterly
JNPR,8/31/2020,3.23%,quarterly
K,8/31/2020,3.33%,quarterly
KEY,8/31/2020,6.38%,quarterly
KRO,8/31/2020,6.03%,quarterly
LCNB,8/31/2020,4.90%,quarterly
LMT,8/31/2020,2.67%,quarterly
MTB,8/31/2020,4.21%,quarterly
MLM,8/31/2020,1.04%,quarterly
MCD,8/31/2020,2.59%,quarterly
MCK,8/31/2020,1.08%,quarterly
MGEE,8/31/2020,2.20%,quarterly
MOFG,8/31/2020,4.70%,quarterly
NGHCZ,8/31/2020,7.50%,quarterly
NBTB,8/31/2020,3.64%,quarterly
NNI,8/31/2020,1.26%,quarterly
NL,8/31/2020,4.34%,quarterly
OSB,8/31/2020,2.00%,quarterly
ONB,8/31/2020,4.00%,quarterly
ZEUS,8/31/2020,0.71%,quarterly
PII,8/31/2020,2.30%,quarterly
PFG,8/31/2020,5.10%,quarterly
PRGS,8/31/2020,1.70%,quarterly
PBY,8/31/2020,6.40%,quarterly
SAFT,8/31/2020,4.73%,quarterly
SLGN,8/31/2020,1.26%,quarterly
SBGI,8/31/2020,3.90%,quarterly
SPKE,8/31/2020,10.18%,quarterly
SWK,8/31/2020,1.97%,quarterly
SF,8/31/2020,1.35%,quarterly
TWCF,8/31/2020,1.48%,quarterly
TW,8/31/2020,0.59%,quarterly
TAC,8/31/2020,1.95%,quarterly
TRMK,8/31/2020,3.88%,quarterly
TSN,8/31/2020,2.78%,quarterly
UFPI,8/31/2020,0.91%,quarterly
VHI,8/31/2020,2.99%,quarterly
VIRT,8/31/2020,4.40%,quarterly
WTS,8/31/2020,1.09%,quarterly
WEN,8/31/2020,0.90%,quarterly
AROW,9/1/2020,3.77%,quarterly
AVY,9/1/2020,1.89%,quarterly
CLPHY,9/1/2020,3.07%,quarterly
NPO,9/1/2020,2.19%,quarterly
FEI,9/1/2020,11.00%,monthly
FPL,9/1/2020,10.90%,monthly
FOXA,9/1/2020,1.80%,semi-annual
FOX,9/1/2020,1.80%,semi-annual
GHL,9/1/2020,1.90%,quarterly
HAL,9/1/2020,1.15%,quarterly
HLI,9/1/2020,2.39%,quarterly
ICL,9/1/2020,3.80%,quarterly
ICL,9/1/2020,2.26%,quarterly
ITUB,9/1/2020,2.70%,monthly
MYE,9/1/2020,3.40%,quarterly
ODFL,9/1/2020,0.33%,quarterly
PAHC,9/1/2020,2.02%,quarterly
PJT,9/1/2020,0.40%,quarterly
RCKY,9/1/2020,2.43%,quarterly
SLB,9/1/2020,2.50%,quarterly
IGD,9/1/2020,9.41%,monthly
IID,9/1/2020,8.29%,monthly
AMCR,9/2/2020,4.10%,quarterly
BBD,9/2/2020,4.10%,monthly
BBDO,9/2/2020,3.20%,monthly
BBDO,9/2/2020,0.96%,monthly
HD,9/2/2020,2.08%,quarterly
LZB,9/2/2020,0.87%,quarterly
LIN,9/2/2020,1.58%,quarterly
MOS,9/2/2020,1.10%,quarterly
PTEN,9/2/2020,2.19%,quarterly
QCOM,9/2/2020,2.81%,quarterly
SSTK,9/2/2020,1.30%,quarterly
GOLF,9/3/2020,1.80%,quarterly
AE,9/3/2020,4.30%,quarterly
AMNB,9/3/2020,4.60%,quarterly
AJG,9/3/2020,1.72%,quarterly
BAC,9/3/2020,2.96%,quarterly
BOTJ,9/3/2020,2.80%,quarterly
BLK,9/3/2020,2.56%,quarterly
BRKS,9/3/2020,0.70%,quarterly
BF.A,9/3/2020,1.12%,quarterly
BF.B,9/3/2020,1.02%,quarterly
CHRW,9/3/2020,2.14%,quarterly
CASS,9/3/2020,2.78%,quarterly
CVR,9/3/2020,1.90%,quarterly
CBSH,9/3/2020,1.89%,quarterly
D,9/3/2020,4.61%,quarterly
FNB,9/3/2020,6.81%,quarterly
FDX,9/3/2020,1.29%,quarterly
FFNW,9/3/2020,4.27%,quarterly
FRME,9/3/2020,4.00%,quarterly
GPC,9/3/2020,3.35%,quarterly
HBM,9/3/2020,0.40%,semi-annual
IMO,9/3/2020,4.10%,quarterly
TILE,9/3/2020,0.52%,quarterly
KMB,9/3/2020,2.82%,quarterly
KNX,9/3/2020,0.70%,quarterly
LUNMF,9/3/2020,2.11%,quarterly
MBWM,9/3/2020,5.10%,quarterly
MBCN,9/3/2020,3.34%,quarterly
MLR,9/3/2020,2.51%,quarterly
MLI,9/3/2020,1.43%,quarterly
NAVI,9/3/2020,7.17%,quarterly
NNA,9/3/2020,26.10%,quarterly
SNR,9/3/2020,5.60%,quarterly
ORI,9/3/2020,5.10%,quarterly
OTEX,9/3/2020,1.53%,quarterly
PEP,9/3/2020,3.06%,quarterly
RF,9/3/2020,5.74%,quarterly
SEE,9/3/2020,1.74%,quarterly
SLM,9/3/2020,1.58%,quarterly
STRA,9/3/2020,1.47%,quarterly
SU,9/3/2020,3.70%,quarterly
TGNA,9/3/2020,2.40%,quarterly
TT,9/3/2020,2.14%,quarterly
TRST,9/3/2020,4.58%,quarterly
UNF,9/3/2020,0.58%,quarterly
WM,9/3/2020,1.96%,quarterly
YY,9/3/2020,1.39%,quarterly
AFIN,9/4/2020,10.60%,monthly
GBDC,9/4/2020,9.40%,quarterly
EGOV,9/4/2020,1.67%,quarterly
PE,9/4/2020,1.79%,quarterly
BPOP,9/4/2020,4.29%,quarterly
WRI,9/4/2020,4.31%,quarterly
AEE,9/8/2020,2.43%,quarterly
AVT,9/8/2020,2.90%,quarterly
BBDC,9/8/2020,7.91%,quarterly
BDX,9/8/2020,1.15%,quarterly
CNI,9/8/2020,1.75%,quarterly
HPQ,9/8/2020,4.14%,quarterly
INSW,9/8/2020,1.40%,quarterly
PEG,9/8/2020,3.70%,quarterly
RCI,9/8/2020,3.60%,quarterly
STNG,9/8/2020,3.07%,quarterly
AAT,9/9/2020,3.70%,quarterly
ANTM,9/9/2020,1.40%,quarterly
AUBN,9/9/2020,2.20%,quarterly
CME,9/9/2020,2.08%,quarterly
CNO,9/9/2020,2.90%,quarterly
FNV,9/9/2020,0.67%,quarterly
GPN,9/9/2020,0.44%,quarterly
HOG,9/9/2020,0.30%,quarterly
MDU,9/9/2020,3.57%,quarterly
MPW,9/9/2020,5.63%,quarterly
MGM,9/9/2020,0.06%,quarterly
NEM,9/9/2020,1.53%,quarterly
TU,9/9/2020,5.00%,quarterly
TRV,9/9/2020,2.78%,quarterly
TRTN,9/9/2020,6.00%,quarterly
UMBF,9/9/2020,2.49%,quarterly
VFC,9/9/2020,3.17%,quarterly
VCTR,9/9/2020,1.32%,quarterly
AL,9/10/2020,2.01%,quarterly
AMSF,9/10/2020,1.70%,quarterly
ADP,9/10/2020,2.70%,quarterly
BSIG,9/10/2020,0.30%,quarterly
CAI,9/10/2020,4.98%,quarterly
CTXS,9/10/2020,1.00%,quarterly
CIBN,9/10/2020,2.70%,quarterly
CRWS,9/10/2020,5.50%,quarterly
ECC,9/10/2020,17.10%,monthly
ENS,9/10/2020,0.94%,quarterly
EXPO,9/10/2020,0.90%,quarterly
FIS,9/10/2020,0.97%,quarterly
FDUS,9/10/2020,11.30%,quarterly
FHN,9/10/2020,6.47%,quarterly
GARS,9/10/2020,5.67%,quarterly
G,9/10/2020,0.99%,quarterly
ICFI,9/10/2020,0.75%,quarterly
IIIN,9/10/2020,0.70%,quarterly
ITT,9/10/2020,1.07%,quarterly
HEQ,9/10/2020,10.87%,quarterly
KFRC,9/10/2020,2.10%,quarterly
KIO,9/10/2020,11.50%,monthly
MANT,9/10/2020,1.85%,quarterly
NDAQ,9/10/2020,1.50%,quarterly
NTRS,9/10/2020,3.68%,quarterly
OTCM,9/10/2020,1.90%,quarterly
NRGX,9/10/2020,15.30%,quarterly
SNDR,9/10/2020,1.05%,quarterly
SAMG,9/10/2020,5.73%,quarterly
SR,9/10/2020,4.10%,quarterly
TXT,9/10/2020,0.23%,quarterly
ZTR,9/10/2020,11.50%,monthly
VGI,9/10/2020,11.30%,monthly
VSH,9/10/2020,2.31%,quarterly
WMB,9/10/2020,8.29%,quarterly
AME,9/11/2020,0.75%,quarterly
DVN,9/11/2020,3.60%,quarterly
ESCA,9/11/2020,3.20%,quarterly
FCNCA,9/11/2020,0.38%,quarterly
JRVR,9/11/2020,2.57%,quarterly
KSU,9/11/2020,0.87%,quarterly
SPR,9/11/2020,0.16%,quarterly
EDF,9/11/2020,13.80%,monthly
EDI,9/11/2020,12.60%,monthly
GROW,9/11/2020,1.00%,monthly
UNH,9/11/2020,1.64%,quarterly
EAD,9/11/2020,9.40%,monthly
ERC,9/11/2020,10.20%,monthly
EOD,9/11/2020,11.87%,quarterly
ERH,9/11/2020,7.30%,monthly
PINE,9/14/2020,5.50%,quarterly
MO,9/14/2020,8.17%,quarterly
AMH,9/14/2020,0.69%,quarterly
APH,9/14/2020,0.94%,quarterly
ARCC,9/14/2020,11.09%,quarterly
ARR,9/14/2020,13.30%,monthly
BANC,9/14/2020,2.00%,quarterly
BXS,9/14/2020,3.28%,quarterly
BCE,9/14/2020,11.76%,quarterly
BR,9/14/2020,1.68%,quarterly
CSWC,9/14/2020,10.90%,quarterly
CPK,9/14/2020,2.10%,quarterly
KO,9/14/2020,3.56%,quarterly
CMA,9/14/2020,7.42%,quarterly
CTBI,9/14/2020,4.95%,quarterly
CNMD,9/14/2020,0.90%,quarterly
CLM,9/14/2020,23.20%,monthly
CRF,9/14/2020,23.20%,monthly
CCI,9/14/2020,2.93%,quarterly
DLR,9/14/2020,2.93%,quarterly
DNI,9/14/2020,7.80%,quarterly
DPZ,9/14/2020,0.75%,quarterly
DTF,9/14/2020,3.40%,monthly
DUC,9/14/2020,6.50%,monthly
DPG,9/14/2020,12.40%,quarterly
SSP,9/14/2020,1.80%,quarterly
EMN,9/14/2020,3.52%,quarterly
ECL,9/14/2020,0.97%,quarterly
EFSC,9/14/2020,2.33%,quarterly
EVC,9/14/2020,7.25%,quarterly
FCAP,9/14/2020,1.63%,quarterly
GBL,9/14/2020,0.67%,quarterly
GRMN,9/14/2020,2.50%,quarterly
GATX,9/14/2020,3.20%,quarterly
GILD,9/14/2020,3.76%,quarterly
GPK,9/14/2020,2.09%,quarterly
HLNE,9/14/2020,1.70%,quarterly
HWBK,9/14/2020,3.00%,quarterly
HRTG,9/14/2020,1.87%,quarterly
HUN,9/14/2020,3.31%,quarterly
IRM,9/14/2020,8.54%,quarterly
KAMN,9/14/2020,1.79%,quarterly
KNL,9/14/2020,1.89%,quarterly
LEG,9/14/2020,4.03%,quarterly
LDOS,9/14/2020,1.43%,quarterly
LOGN,9/14/2020,3.78%,quarterly
MAXR,9/14/2020,0.23%,quarterly
MRK,9/14/2020,3.10%,quarterly
MCY,9/14/2020,5.90%,quarterly
NEU,9/14/2020,2.10%,quarterly
NREF,9/14/2020,9.10%,quarterly
NXRT,9/14/2020,3.12%,quarterly
NWE,9/14/2020,4.25%,quarterly
OCSL,9/14/2020,8.16%,quarterly
OCSI,9/14/2020,7.50%,quarterly
OCCI,9/14/2020,22.20%,quarterly
OVV,9/14/2020,3.70%,quarterly
OMI,9/14/2020,0.06%,quarterly
APTS,9/14/2020,9.50%,quarterly
PB,9/14/2020,3.30%,quarterly
PSB,9/14/2020,3.02%,quarterly
PSA,9/14/2020,4.08%,quarterly
RNR,9/14/2020,0.77%,quarterly
SCI,9/14/2020,1.59%,quarterly
SJR,9/14/2020,5.00%,monthly
SFNC,9/14/2020,3.91%,quarterly
SAH,9/14/2020,1.04%,quarterly
SCM,9/14/2020,12.50%,quarterly
TROW,9/14/2020,2.62%,quarterly
TMO,9/14/2020,0.23%,quarterly
TSLX,9/14/2020,9.21%,quarterly
UGI,9/14/2020,4.00%,quarterly
UCBI,9/14/2020,3.92%,quarterly
UTMD,9/14/2020,1.30%,quarterly
VLY,9/14/2020,5.50%,quarterly
VRSK,9/14/2020,0.60%,quarterly
VIACA,9/14/2020,3.50%,quarterly
VIAC,9/14/2020,3.74%,quarterly
WRB,9/14/2020,0.78%,quarterly
WWE,9/14/2020,1.00%,quarterly
WOR,9/14/2020,2.60%,quarterly
WYND,9/14/2020,4.00%,quarterly
ARES,9/15/2020,4.00%,quarterly
TCPC,9/15/2020,12.28%,quarterly
RA,9/15/2020,14.00%,monthly
CINF,9/15/2020,3.00%,quarterly
FOF,9/15/2020,9.80%,monthly
UTF,9/15/2020,8.40%,monthly
LDP,9/15/2020,7.60%,monthly
RQI,9/15/2020,8.80%,monthly
RNP,9/15/2020,7.80%,monthly
PSF,9/15/2020,7.60%,monthly
RFI,9/15/2020,7.80%,monthly
MIE,9/15/2020,8.50%,monthly
FNF,9/15/2020,4.02%,quarterly
FFIN,9/15/2020,1.70%,quarterly
FSK,9/15/2020,14.95%,quarterly
GLU,9/15/2020,8.10%,monthly
GUT,9/15/2020,8.80%,monthly
GGN,9/15/2020,17.50%,monthly
GNT,9/15/2020,7.60%,monthly
ICE,9/15/2020,1.30%,quarterly
MRTN,9/15/2020,0.56%,quarterly
MEOH,9/15/2020,0.74%,quarterly
NMFC,9/15/2020,12.61%,quarterly
NWSA,9/15/2020,1.30%,semi-annual
NWS,9/15/2020,1.30%,semi-annual
OXLC,9/15/2020,20.00%,monthly
OXSQ,9/15/2020,12.60%,monthly
PGZ,9/15/2020,11.00%,monthly
RYN,9/15/2020,3.77%,quarterly
RNST,9/15/2020,3.50%,quarterly
OPP,9/15/2020,15.20%,monthly
RFM,9/15/2020,6.30%,monthly
RMM,9/15/2020,6.30%,monthly
RMI,9/15/2020,5.10%,monthly
RIV,9/15/2020,14.80%,monthly
TDS,9/15/2020,2.91%,quarterly
GDV,9/15/2020,8.00%,monthly
WU,9/15/2020,4.07%,quarterly
OLED,9/15/2020,0.30%,quarterly
VST,9/15/2020,2.89%,quarterly
AAN,9/16/2020,0.29%,quarterly
AIG,9/16/2020,3.98%,quarterly
ARD,9/16/2020,4.20%,quarterly
HRZN,9/16/2020,10.30%,monthly
HBAN,9/16/2020,6.27%,quarterly
SFL,9/16/2020,10.87%,quarterly
SLRC,9/16/2020,9.80%,quarterly
STFC,9/16/2020,2.40%,quarterly
ADT,9/17/2020,1.16%,quarterly
AAP,9/17/2020,0.60%,quarterly
ALB,9/17/2020,1.83%,quarterly
ALRS,9/17/2020,3.00%,quarterly
AIMC,9/17/2020,0.50%,quarterly
CNQ,9/17/2020,6.40%,quarterly
CB,9/17/2020,2.38%,quarterly
GLV,9/17/2020,13.40%,monthly
GLQ,9/17/2020,11.60%,monthly
GLO,9/17/2020,11.60%,monthly
CNSWF,9/17/2020,0.34%,quarterly
FLS,9/17/2020,2.47%,quarterly
HRC,9/17/2020,0.81%,quarterly
QTS,9/17/2020,2.63%,quarterly
UTG,9/17/2020,6.90%,monthly
RBCAA,9/17/2020,3.62%,quarterly
QSR,9/17/2020,3.90%,quarterly
TSM,9/17/2020,2.50%,quarterly
TG,9/17/2020,2.62%,quarterly
UNIT,9/17/2020,6.02%,quarterly
VRS,9/17/2020,3.10%,quarterly
AINV,9/18/2020,12.89%,quarterly
DTE,9/18/2020,3.91%,quarterly
PCF,9/18/2020,11.20%,monthly
NEWT,9/18/2020,13.06%,quarterly
OMC,9/18/2020,4.81%,quarterly
SPE,9/18/2020,9.80%,monthly
SYBT,9/18/2020,2.54%,quarterly
WRE,9/18/2020,5.49%,quarterly
WHF,9/18/2020,13.10%,quarterly
BGH,9/21/2020,10.00%,monthly
FRT,9/21/2020,5.55%,quarterly
NJR,9/21/2020,3.98%,quarterly
BFC,9/22/2020,1.30%,quarterly
DFP,9/22/2020,7.80%,monthly
PFD,9/22/2020,6.80%,monthly
FLC,9/22/2020,7.50%,monthly
FFC,9/22/2020,7.40%,monthly
GLAD,9/22/2020,10.60%,monthly
GOOD,9/22/2020,8.10%,monthly
GAIN,9/22/2020,8.40%,monthly
LAND,9/22/2020,3.30%,monthly
HIE,9/22/2020,7.80%,monthly
OFS,9/22/2020,14.60%,quarterly
STX,9/22/2020,5.88%,quarterly
TEAF,9/22/2020,8.10%,monthly
WIA,9/22/2020,3.20%,monthly
PAI,9/22/2020,4.20%,monthly
WEA,9/22/2020,6.10%,monthly
WIW,9/22/2020,3.50%,monthly
GTY,9/23/2020,4.96%,quarterly
IFF,9/23/2020,2.36%,quarterly
PIM,9/23/2020,8.50%,monthly
PMO,9/23/2020,4.60%,monthly
PPT,9/23/2020,8.70%,monthly
CP,9/24/2020,1.00%,quarterly
CONE,9/24/2020,2.47%,quarterly
XRAY,9/24/2020,0.89%,quarterly
IROQ,9/24/2020,1.80%,semi-annual
POR,9/24/2020,3.70%,quarterly
RBC,9/24/2020,1.30%,quarterly
HCKT,9/24/2020,2.84%,quarterly
CIB,9/28/2020,4.30%,quarterly
MAIN,9/28/2020,7.90%,monthly
MERC,9/28/2020,3.60%,quarterly
TDI,9/28/2020,6.40%,quarterly
AQN,9/29/2020,9.04%,quarterly
DOX,9/29/2020,2.11%,quarterly
AHH,9/29/2020,4.60%,quarterly
BGS,9/29/2020,6.87%,quarterly
BCSF,9/29/2020,12.93%,quarterly
OFC,9/29/2020,4.30%,quarterly
CCAP,9/29/2020,13.20%,quarterly
DNP,9/29/2020,6.90%,monthly
FR,9/29/2020,2.28%,quarterly
FMC,9/29/2020,1.65%,quarterly
GBNXF,9/29/2020,6.19%,quarterly
GSBD,9/29/2020,11.10%,quarterly
GECC,9/29/2020,22.70%,monthly
ITW,9/29/2020,2.40%,quarterly
KW,9/29/2020,6.10%,quarterly
LECO,9/29/2020,2.14%,quarterly
MFA,9/29/2020,7.09%,quarterly
MDLZ,9/29/2020,2.24%,quarterly
MTBCP,9/29/2020,10.60%,monthly
NHC,9/29/2020,3.20%,quarterly
NTR,9/29/2020,4.68%,quarterly
OFG,9/29/2020,2.09%,quarterly
OR,9/29/2020,1.25%,quarterly
ORCC,9/29/2020,10.10%,none
PRIM,9/29/2020,1.30%,quarterly
REXR,9/29/2020,2.08%,quarterly
STAG,9/29/2020,4.80%,monthly
STN,9/29/2020,1.40%,quarterly
SYK,9/29/2020,1.16%,quarterly
TRP,9/29/2020,5.20%,quarterly
CGBD,9/29/2020,14.20%,none
TFII,9/29/2020,1.79%,quarterly
VER,9/29/2020,4.68%,quarterly
XRX,9/29/2020,6.39%,quarterly
AUY,9/29/2020,1.10%,quarterly
YORW,9/29/2020,1.60%,quarterly
APD,9/30/2020,1.87%,quarterly
CAH,9/30/2020,3.70%,quarterly
CUBE,9/30/2020,4.48%,quarterly
EHC,9/30/2020,1.71%,quarterly
ESE,9/30/2020,0.35%,quarterly
FPI,9/30/2020,3.00%,quarterly
NGHC,9/30/2020,0.60%,quarterly
RSG,9/30/2020,1.96%,quarterly
SSD,9/30/2020,1.00%,quarterly
TANNI,9/30/2020,8.10%,quarterly
WWW,9/30/2020,1.65%,quarterly
BTI,10/1/2020,8.40%,quarterly
WIRE,10/1/2020,0.15%,quarterly
FEI,10/1/2020,11.20%,monthly
FPL,10/1/2020,11.00%,monthly
HASI,10/1/2020,3.55%,quarterly
SNN,10/1/2020,1.80%,semi-annual
TRNO,10/1/2020,1.88%,quarterly
ERIE,10/2/2020,1.80%,quarterly
WERN,10/2/2020,0.80%,quarterly
DGX,10/5/2020,1.87%,quarterly
CMCSA,10/6/2020,2.10%,quarterly
PGR,10/6/2020,0.44%,quarterly
ETH,10/7/2020,6.36%,quarterly
GD,10/8/2020,2.95%,quarterly
KIO,10/8/2020,11.50%,monthly
LOAN,10/8/2020,9.60%,quarterly
UVV,10/8/2020,7.09%,quarterly
ECC,10/9/2020,12.00%,monthly
MFO,10/13/2020,9.60%,quarterly
BELFA,10/14/2020,1.90%,quarterly
BELFB,10/14/2020,2.10%,quarterly
CLM,10/14/2020,19.70%,monthly
CRF,10/14/2020,19.40%,monthly
SJR,10/14/2020,5.00%,monthly
OXLC,10/15/2020,18.10%,monthly
PKI,10/15/2020,0.25%,quarterly
PGZ,10/15/2020,11.30%,monthly
EDF,10/16/2020,13.90%,monthly
EDI,10/16/2020,12.60%,monthly
HRZN,10/19/2020,10.30%,monthly
BGH,10/21/2020,9.40%,monthly
BIF,10/22/2020,4.00%,quarterly
DFP,10/22/2020,7.80%,monthly
PFD,10/22/2020,6.90%,monthly
FLC,10/22/2020,7.50%,monthly
FFC,10/22/2020,7.40%,monthly
TEAF,10/22/2020,8.10%,monthly
MAIN,10/28/2020,7.90%,monthly
